Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19253,22.8726,,,1.347E-15,,,
19290,22.9165,,,2.531E-17,,,
19328,22.9617,,,1.699E-16,,,
19483,23.1458,,,1.460E-16,,,
19594,23.2777,,,2.321E-16,,,
19655,23.3501,,,9.555E-17,,,
19658,23.3537,,,3.010E-17,,,
19792,23.5129,,,6.248E-16,,,
19986,23.7434,,,5.164E-16,,,
20159,23.9489,,,9.945E-16,,,
20192,23.9881,,,1.780E-16,,,
20198,23.9952,,,1.584E-15,,,
20333,24.1556,,,1.384E-16,,,
20376,24.2067,,,6.086E-16,,,
20425,24.2649,,,3.280E-16,,,
20449,24.2934,,,3.131E-17,,,
20568,24.4348,,,9.224E-17,,,
20652,24.5346,,,3.794E-16,,,
20779,24.6855,,,3.036E-17,,,
20890,24.8173,,,3.619E-16,,,
21026,24.9789,,,3.169E-16,,,
21030,24.9836,,,2.157E-16,,,
21073,25.0347,,,3.655E-16,,,
21291,25.2937,,,7.586E-16,,,
21362,25.3781,,,1.812E-16,,,
21466,25.5016,,,3.427E-16,,,
21818,25.9198,,,1.724E-16,,,
21990,26.1241,,,3.515E-16,,,
22169,26.3368,,,2.137E-15,,,
22299,26.4912,,,5.420E-16,,,
22341,26.5411,,,4.501E-16,,,
22587,26.8334,,,2.555E-16,,,
22696,26.9628,,,1.182E-16,,,
22805,27.0923,,,2.581E-16,,,
22851,27.1470,,,1.002E-16,,,
22856,27.1529,,,3.729E-17,,,
22869,27.1684,,,1.815E-16,,,
22884,27.1862,,,3.197E-15,,,
23164,27.5188,,,1.277E-16,,,
23298,27.6780,,,1.418E-16,,,
23389,27.7861,,,6.690E-17,,,
23406,27.8063,,,7.614E-17,,,
23425,27.8289,,,6.930E-16,,,
23626,28.0677,,,1.924E-16,,,
23664,28.1128,,,8.728E-16,,,
23668,28.1176,,,9.067E-17,,,
23685,28.1378,,,5.512E-17,,,
23908,28.4027,,,2.715E-16,,,
23915,28.4110,,,1.023E-16,,,
23969,28.4752,,,1.111E-16,,,
24068,28.5928,,,5.833E-16,,,
24107,28.6391,,,3.082E-16,,,
24179,28.7247,,,2.644E-17,,,
24295,28.8625,,,1.994E-16,,,
24341,28.9171,,,9.113E-16,,,
24510,29.1179,,,1.596E-16,,,
24526,29.1369,,,9.813E-17,,,
24610,29.2367,,,4.081E-17,,,
24650,29.2842,,,6.373E-16,,,
24693,29.3353,,,7.614E-16,,,
24825,29.4921,,,2.389E-16,,,
25031,29.7368,,,1.085E-16,,,
25133,29.8580,,,9.701E-17,,,
25190,29.9257,,,1.625E-17,,,
25247,29.9934,,,1.532E-16,,,
25408,30.1847,,,8.336E-17,,,
25467,30.2548,,,2.705E-17,,,
25696,30.5268,,,7.956E-17,,,
25885,30.7514,,,9.122E-16,,,
26198,31.1232,,,2.362E-16,,,
26352,31.3062,,,2.981E-16,,,
26362,31.3181,,,3.313E-16,,,
26405,31.3691,,,2.092E-17,,,
26493,31.4737,,,1.133E-16,,,
26753,31.7826,,,1.642E-16,,,
26828,31.8717,,,4.690E-17,,,
26906,31.9643,,,6.618E-17,,,
26976,32.0475,,,1.283E-16,,,
26999,32.0748,,,3.390E-15,,,
27069,32.1580,,,1.059E-16,,,
27277,32.4051,,,3.927E-16,,,
27280,32.4086,,,1.266E-16,,,
27284,32.4134,,,7.800E-17,,,
27321,32.4573,,,1.898E-16,,,
27325,32.4621,,,8.490E-17,,,
27575,32.7591,,,3.653E-17,,,
27580,32.7650,,,2.698E-16,,,
27601,32.7900,,,1.434E-15,,,
27640,32.8363,,,9.298E-17,,,
27690,32.8957,,,9.124E-17,,,
27966,33.2236,,,1.425E-16,,,
27975,33.2343,,,3.934E-16,,,
28076,33.3543,,,1.632E-16,,,
28108,33.3923,,,1.406E-16,,,
28323,33.6477,,,4.473E-16,,,
28373,33.7071,,,3.979E-17,,,
