Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19283,22.9082,,,6.12E-17,,,
19363,23.0032,,,7.45E-16,,,
19364,23.0044,,5.87E-16,,,,
19503,23.1696,,1.02E-16,1.68E-16,,,
19571,23.2503,,1.65E-16,3.21E-16,,,
19826,23.5533,,,1.17E-16,,,
19829,23.5569,,1.17E-16,,,,
19830,23.558,,,2.83E-16,,,
19906,23.6483,,,9.22E-17,,,
19992,23.7505,,9.60E-17,1.23E-16,,,
20000,23.76,,,8.30E-17,,,
20042,23.8099,,5.06E-17,4.96E-17,,,
20081,23.8562,,,7.36E-17,,,
20124,23.9073,,,1.01E-16,,,
20274,24.0855,,,6.38E-17,,,
20294,24.1093,,2.11E-16,1.14E-15,,,
20362,24.1901,,,5.03E-17,,,
20397,24.2316,,,5.60E-17,,,
20529,24.3885,,,5.18E-17,,,
20596,24.468,,1.34E-16,2.34E-16,,,
20647,24.5286,,,9.21E-17,,,
20885,24.8114,,,6.20E-17,,,
20928,24.8625,,,5.28E-17,,,
20974,24.9171,,3.02E-16,1.26E-15,,,
21113,25.0822,,1.35E-16,1.95E-16,,,
21125,25.0965,,5.18E-17,6.59E-17,,,
21201,25.1868,,,9.12E-17,,,
21230,25.2212,,,5.20E-17,,,
21248,25.2426,,5.66E-17,1.01E-16,,,
21377,25.3959,,,6.46E-17,,,
21387,25.4078,,7.06E-17,2.05E-16,,,
21400,25.4232,,,1.12E-16,,,
21410,25.4351,,,5.66E-17,,,
21441,25.4719,,7.78E-17,6.27E-16,,,
21490,25.5301,,3.41E-16,7.19E-16,,,
21554,25.6062,,,6.24E-17,,,
21580,25.637,,2.41E-16,3.82E-16,,,
21703,25.7832,,,1.62E-16,,,
21793,25.8901,,,5.61E-17,,,
21887,26.0018,,1.04E-16,9.87E-17,,,
21991,26.1253,,,1.02E-16,,,
22012,26.1503,,,7.29E-17,,,
22026,26.1669,,3.96E-16,2.21E-16,,,
22041,26.1847,,3.42E-16,5.14E-16,,3.84E-17,
22058,26.2049,,7.24E-17,1.87E-16,,,
22116,26.2738,,1.78E-15,2.68E-15,,3.21E-16,7.64E-17
22249,26.4318,,8.26E-17,1.39E-16,,,
22285,26.4746,,,1.85E-16,,,
22301,26.4936,,8.10E-16,1.70E-15,,,
22391,26.6005,,,8.86E-17,,,
22457,26.6789,,,5.97E-17,,,
22489,26.7169,,4.20E-16,1.02E-15,,,
22537,26.774,,,5.08E-17,,,
22551,26.7906,,5.23E-17,4.43E-16,,,
22620,26.8726,,2.03E-16,4.91E-16,,,
22628,26.8821,,,9.01E-17,,,
22661,26.9213,,9.52E-16,1.50E-15,,,
22698,26.9652,,,1.09E-16,,,
22786,27.0698,,5.53E-17,2.76E-16,,,
22790,27.0745,,1.11E-16,3.49E-16,,,
22844,27.1387,,,1.16E-16,,,
22918,27.2266,,9.75E-17,8.89E-17,,,
23030,27.3596,,2.03E-16,4.22E-16,,,
23072,27.4095,,1.33E-15,2.14E-15,,,
23096,27.438,,7.02E-17,3.51E-16,,,
23142,27.4927,,,5.11E-17,,,
23156,27.5093,,1.78E-15,2.51E-15,,1.05E-16,3.87E-17
23380,27.7754,,,7.95E-17,,,
23497,27.9144,,,1.43E-15,,,
23622,28.0629,,,8.77E-17,,,
23684,28.1366,,,1.09E-16,,,
23699,28.1544,,,5.60E-17,,,
23804,28.2792,,1.93E-16,7.77E-16,,,
23817,28.2946,,1.09E-16,1.60E-16,,,
23854,28.3386,,1.05E-16,3.39E-16,,,
23898,28.3908,,,2.13E-16,,,
24055,28.5773,,1.82E-16,7.84E-16,,,
24090,28.6189,,,6.62E-17,,,
24106,28.6379,,6.87E-17,1.62E-16,,,
24178,28.7235,,8.47E-17,1.83E-16,,,
24185,28.7318,,5.24E-17,1.42E-16,,,
24199,28.7484,,7.91E-17,2.18E-16,,,
24257,28.8173,,,4.63E-16,,,
24258,28.8185,,2.59E-16,,,,
24287,28.853,,,7.58E-17,,,
24343,28.9195,,8.03E-17,2.89E-16,,,
24373,28.9551,,,7.87E-16,,,
24395,28.9813,,5.89E-17,2.03E-16,,,
24509,29.1167,,5.99E-17,1.71E-16,,,
24616,29.2438,,6.06E-17,1.35E-16,,,
24671,29.3091,,7.85E-17,1.16E-16,,,
24712,29.3579,,,5.23E-17,,,
24723,29.3709,,,1.65E-16,,,
24938,29.6263,,1.03E-16,1.47E-16,,,
24968,29.662,,,5.82E-17,,,
25074,29.7879,,,7.46E-17,,,
25088,29.8045,,6.56E-17,1.10E-16,,,
25095,29.8129,,8.59E-17,1.35E-16,,,
25134,29.8592,,,9.10E-17,,,
25152,29.8806,,,2.03E-16,,,
25214,29.9542,,6.16E-17,1.36E-16,,,
25239,29.9839,,,1.33E-16,,,
25293,30.0481,,5.31E-16,1.67E-15,,,
25328,30.0897,,,6.76E-17,,,
25409,30.1859,,6.93E-17,1.22E-16,,,
25488,30.2797,,1.26E-16,3.02E-16,,,
25628,30.4461,,,5.32E-17,,,
25877,30.7419,,,1.38E-16,,,
25963,30.844,,,5.76E-17,,,
26016,30.907,,,5.46E-17,,,
26023,30.9153,,,5.10E-17,,,
26030,30.9236,,5.83E-17,2.33E-16,,,
26070,30.9712,,,4.95E-17,,,
26193,31.1173,,,1.21E-16,,,
26354,31.3086,,,5.04E-17,,,
26403,31.3668,,6.21E-17,1.16E-16,,,
26418,31.3846,,,1.25E-16,,,
26444,31.4155,,5.05E-16,1.02E-15,,,
26462,31.4369,,1.57E-16,3.50E-16,,,
26620,31.6246,,,1.11E-16,,,
26669,31.6828,,,1.19E-16,,,
26729,31.7541,,,6.14E-17,,,
26814,31.855,,,7.22E-17,,,
26850,31.8978,,,5.24E-17,,,
27063,32.1508,,6.05E-17,1.66E-16,,,
27143,32.2459,7.13E-15,2.48E-15,4.69E-15,,2.54E-16,6.49E-17
27152,32.2566,,2.26E-15,5.54E-15,,2.99E-16,1.18E-16
27192,32.3041,,,9.73E-17,,,
27201,32.3148,,,5.05E-17,,,
27246,32.3682,,,9.23E-17,,,
27309,32.4431,,,2.27E-16,,,
