Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19201,22.8108,,8.54E-17,2.56E-16,,,
19370,23.0116,,7.83E-16,1.47E-15,,7.78E-16,1.99E-16
19382,23.0258,,1.53E-16,3.46E-16,,1.87E-16,3.79E-17
19385,23.0294,,3.47E-16,7.84E-16,,4.19E-16,1.04E-16
19405,23.0531,,4.76E-17,5.59E-17,,5.04E-17,
19438,23.0923,,9.04E-17,2.39E-16,,6.38E-17,2.78E-17
19470,23.1304,,8.70E-16,1.70E-15,,8.49E-16,1.93E-16
19596,23.28,,2.88E-17,,,,
19638,23.3299,,8.64E-17,1.81E-16,,1.04E-16,3.13E-17
19709,23.4143,,3.45E-17,,,,
19738,23.4487,,7.58E-17,1.96E-16,,,
19771,23.4879,,,3.98E-17,,,
19773,23.4903,,4.48E-17,1.09E-16,,5.50E-17,
19801,23.5236,,2.31E-16,4.67E-16,,2.28E-16,6.20E-17
19844,23.5747,,,4.85E-17,,,
19907,23.6495,,5.81E-17,7.04E-17,,,
19921,23.6661,,,1.01E-16,,,
19944,23.6935,,1.55E-16,2.42E-16,,1.45E-16,3.13E-17
19973,23.7279,,,3.68E-17,,,
19974,23.7291,,3.01E-17,,,,
20015,23.7778,,7.44E-16,1.51E-15,,8.55E-16,1.13E-16
20017,23.7802,,,3.80E-17,,,
20028,23.7933,,4.10E-17,5.54E-17,,,
20044,23.8123,,9.02E-17,2.18E-16,,1.21E-16,3.51E-17
20050,23.8194,,4.53E-17,1.31E-16,,,1.75E-17
20070,23.8432,,,3.74E-17,,,
20071,23.8443,,,,,5.43E-17,
20098,23.8764,,1.18E-16,2.56E-16,,1.55E-16,
20099,23.8776,,,,,,3.69E-17
20112,23.8931,,4.56E-17,1.11E-16,,4.73E-17,
20133,23.918,,1.67E-16,3.76E-16,1.22E-17,1.62E-16,3.49E-17
20143,23.9299,,4.23E-16,9.94E-16,,4.25E-16,1.19E-16
20148,23.9358,,2.42E-16,3.86E-16,,2.65E-16,5.73E-17
20167,23.9584,,4.61E-16,8.68E-16,,5.32E-16,9.21E-17
20176,23.9691,,,8.75E-17,,,
20254,24.0618,,5.00E-16,1.07E-15,,5.82E-16,1.35E-16
20261,24.0701,,5.57E-17,1.03E-16,,,
20280,24.0926,,6.11E-17,1.51E-16,,5.66E-17,3.39E-17
20299,24.1152,,8.75E-17,1.53E-16,,1.21E-16,
20304,24.1212,,9.62E-16,1.95E-15,1.10E-17,1.00E-15,2.47E-16
20362,24.1901,,3.46E-17,3.98E-17,,,
20398,24.2328,,4.45E-16,1.14E-15,1.52E-17,5.58E-16,1.46E-16
20456,24.3017,,2.96E-16,6.41E-16,,3.06E-16,6.11E-17
20483,24.3338,,4.92E-17,9.23E-17,,,
20489,24.3409,,2.34E-16,4.66E-16,,2.27E-16,4.79E-17
20501,24.3552,,2.50E-16,4.27E-16,,2.93E-16,4.46E-17
20540,24.4015,,2.01E-16,3.96E-16,,1.73E-16,2.86E-17
20606,24.4799,,,1.43E-16,,4.74E-17,
20618,24.4942,,,,,1.52E-16,
20619,24.4954,,1.71E-16,2.68E-16,,,
20669,24.5548,,2.14E-16,4.61E-16,,1.88E-16,7.37E-17
20673,24.5595,,1.63E-15,3.25E-15,2.38E-17,1.74E-15,4.17E-16
20683,24.5714,,1.13E-16,2.03E-16,,,2.43E-17
20684,24.5726,,,,,1.75E-16,
20692,24.5821,,2.96E-17,3.84E-17,,,
20709,24.6023,,3.22E-17,1.15E-16,,6.55E-17,
20730,24.6272,,,4.08E-17,,,
20742,24.6415,,,4.23E-17,,,
20749,24.6498,,4.79E-16,9.41E-16,,3.68E-16,8.71E-17
20785,24.6926,,,7.27E-17,,,
20813,24.7258,,6.06E-17,8.48E-17,,,
20901,24.8304,,2.16E-16,3.89E-16,,2.62E-16,4.09E-17
20934,24.8696,,2.50E-16,4.51E-16,,2.18E-16,7.19E-17
20959,24.8993,,2.55E-16,5.23E-16,8.50E-18,2.33E-16,5.24E-17
21020,24.9718,,3.47E-16,7.95E-16,,3.74E-16,9.34E-17
21028,24.9813,,2.53E-16,3.68E-16,9.63E-18,9.29E-17,5.70E-17
21132,25.1048,,,5.47E-17,,,
21146,25.1214,,1.55E-16,2.63E-16,,1.77E-16,4.05E-17
