Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19291,22.9177,,,1.341E-16,,,
19344,22.9807,,,6.945E-16,,,
19354,22.9926,,,3.270E-17,,,
19417,23.0674,,,7.572E-17,,,
19546,23.2206,,,2.296E-17,,,
19551,23.2266,,,7.086E-17,,,
19580,23.2610,,,1.946E-16,,,
19596,23.2800,,1.399E-16,2.452E-16,,,
19930,23.6768,,,6.343E-17,,,
19975,23.7303,,2.530E-17,,,,
19986,23.7434,,,7.007E-16,,,
20193,23.9893,,,5.331E-17,,,
20471,24.3195,,5.572E-17,9.429E-17,,,
20908,24.8387,,,4.795E-16,,,
20981,24.9254,,3.055E-16,4.166E-16,,,
21070,25.0312,,,2.570E-17,,,
21245,25.2391,,,,1.647E-17,,
21252,25.2474,,3.643E-16,7.162E-16,,,
21637,25.7048,,,1.415E-15,,,
21855,25.9637,,,2.533E-16,,,
22410,26.6231,,5.157E-17,5.844E-17,,4.788E-17,
22691,26.9569,,,4.558E-16,,,
23425,27.8289,,4.615E-17,1.563E-16,,,
23448,27.8562,,,7.121E-16,,,
23454,27.8634,,,2.298E-17,,,
23819,28.2970,,4.015E-17,4.642E-17,,,
24559,29.1761,,1.468E-15,2.391E-15,,,
24776,29.4339,,,3.156E-17,,,
24963,29.6560,,2.543E-16,4.771E-16,1.411E-17,1.959E-16,6.197E-17
25022,29.7261,,,2.133E-16,,1.078E-16,
25023,29.7273,,1.371E-16,,,,
25188,29.9233,,2.733E-17,6.135E-17,,,
25269,30.0196,,5.225E-16,9.135E-16,,4.868E-16,1.206E-16
25368,30.1372,,5.332E-16,1.154E-15,1.416E-17,4.769E-16,1.426E-16
26024,30.9165,,,6.714E-17,,,
26215,31.1434,,8.142E-17,1.600E-16,,,
26492,31.4725,,,3.182E-16,,,
26575,31.5711,,7.788E-16,9.682E-16,,,
26675,31.6899,,,2.729E-17,,,
27390,32.5393,,3.601E-16,9.492E-16,,7.253E-16,1.379E-16
