Index,TimeStamp (s),Fe (g),La (g),Ce (g),Th (g),Nd (g),Pr (g)
19204,22.8144,8.909E-15,2.413E-15,4.127E-15,,,
19321,22.9533,,4.510E-16,7.327E-16,,3.317E-16,1.081E-16
19379,23.0223,,,8.609E-16,,,
19409,23.0579,,6.069E-16,1.168E-15,,,
19520,23.1898,,,7.000E-17,,,
19646,23.3394,,1.655E-16,3.895E-16,,,
19720,23.4274,,,6.030E-17,,,
19734,23.4440,,2.410E-16,4.517E-16,,1.792E-16,4.975E-17
20106,23.8859,,,1.547E-16,,,
20222,24.0237,,1.442E-16,6.167E-16,,,
20407,24.2435,,,1.660E-16,,,
20439,24.2815,,6.076E-16,1.317E-15,,,
20587,24.4574,,,3.771E-17,,,
20652,24.5346,,,2.924E-16,,,
20698,24.5892,,2.572E-16,3.687E-16,,,
21117,25.0870,,1.012E-16,9.122E-17,,,
21153,25.1298,,,4.884E-17,,,
21504,25.5468,,,1.128E-15,,,
21564,25.6180,,4.496E-17,2.238E-16,,8.563E-17,
21625,25.6905,,1.335E-16,1.221E-16,,,
21879,25.9923,,3.811E-17,1.516E-16,,,
22010,26.1479,,9.266E-16,1.088E-15,,8.433E-17,3.546E-17
22099,26.2536,,3.869E-17,1.012E-16,,,
22281,26.4698,,2.512E-16,7.104E-16,,,
22537,26.7740,,,7.201E-17,,,
22966,27.2836,,6.552E-17,1.698E-16,,,
23289,27.6673,,9.669E-17,5.521E-16,,,
23334,27.7208,,,4.309E-17,,,
23341,27.7291,,,2.068E-16,,,
23422,27.8253,,4.134E-17,1.121E-16,,,
23451,27.8598,,3.835E-17,4.577E-17,,,
23499,27.9168,,6.858E-17,2.433E-16,,8.456E-17,
23527,27.9501,,4.488E-17,6.466E-17,,,
23609,28.0475,,5.055E-17,9.326E-17,,,
23630,28.0724,,6.689E-16,1.326E-15,2.014E-17,6.729E-16,1.556E-16
23888,28.3789,,,4.665E-17,,,
24131,28.6676,,4.134E-17,9.186E-17,,,
24377,28.9599,,,1.116E-16,,,
24429,29.0217,,,2.114E-16,,,
24686,29.3270,,,2.259E-16,,,
24806,29.4695,,4.930E-17,2.007E-16,,,
24912,29.5955,,,7.049E-16,,,
25046,29.7546,,2.657E-16,3.342E-16,,,
25087,29.8034,,,4.324E-16,,,
25207,29.9459,,,5.218E-17,,,
25248,29.9946,,4.904E-17,1.419E-16,,,
25466,30.2536,,,8.030E-17,,,
25497,30.2904,,4.725E-16,1.167E-15,,4.503E-17,3.175E-17
25570,30.3772,,,5.418E-17,,,
25589,30.3997,,3.754E-17,1.427E-16,,,
25609,30.4235,,2.692E-16,4.234E-16,,2.308E-16,7.146E-17
25971,30.8535,,,3.771E-17,,,
26128,31.0401,,,4.696E-17,,,
26163,31.0816,,,6.272E-17,,,
26220,31.1494,,8.521E-17,8.747E-17,,,
26223,31.1529,,8.597E-17,1.449E-16,,8.459E-17,2.916E-17
26331,31.2812,,,5.712E-17,,,
26609,31.6115,,,1.641E-15,,,
26610,31.6127,,4.223E-16,,,,
26682,31.6982,,7.785E-17,5.337E-17,,,
26774,31.8075,,,6.782E-17,,,
26923,31.9845,,2.212E-16,2.919E-16,,9.140E-17,2.045E-17
27026,32.1069,,3.741E-16,7.912E-16,,,
27100,32.1948,,4.893E-17,1.412E-16,,,
27125,32.2245,,,9.722E-17,,,
27351,32.4930,,,3.641E-17,,,
27397,32.5476,,1.204E-16,3.377E-16,,1.546E-16,4.343E-17
27526,32.7009,,2.552E-16,5.291E-16,,,
27754,32.9718,,,4.415E-17,,,
27975,33.2343,,,7.500E-17,,,
28056,33.3305,,,1.081E-16,,,
28332,33.6584,,,1.361E-16,,,
28344,33.6727,,6.180E-17,1.414E-16,,,
28592,33.9673,,,3.410E-16,,,
28680,34.0718,,,7.533E-17,,,
28814,34.2310,,4.842E-17,7.485E-17,,,
28921,34.3581,,,7.846E-17,,,
29297,34.8048,,,7.529E-17,,,
29310,34.8203,,3.961E-17,5.547E-17,,,
29368,34.8892,,,8.782E-17,,,
29453,34.9902,,1.432E-16,4.068E-16,,,
29491,35.0353,,,4.109E-17,,,
29691,35.2729,,,5.324E-17,,,
29767,35.3632,,5.848E-17,5.701E-16,,,
29802,35.4048,,9.129E-17,1.576E-16,,8.332E-17,
29876,35.4927,,9.803E-17,1.791E-16,,1.186E-16,1.598E-17
29985,35.6222,,5.434E-17,2.099E-16,,,
30060,35.7113,,,4.033E-17,,,
30072,35.7255,,4.024E-17,8.338E-17,,,
30258,35.9465,,,5.844E-17,,,
30320,36.0202,,,8.850E-16,,,
30417,36.1354,,,2.289E-15,,,
30677,36.4443,,,5.317E-17,,,
30895,36.7033,,1.018E-16,1.150E-16,,,
30928,36.7425,,,1.811E-16,,,
31012,36.8423,,,2.192E-15,,,
31111,36.9599,,,7.043E-16,,,
31208,37.0751,,,7.666E-16,,,
31278,37.1583,,7.572E-17,1.086E-16,,,
31697,37.6560,,1.463E-16,2.096E-16,,,
31813,37.7938,,,1.083E-15,,,
32064,38.0920,,3.838E-17,7.433E-17,,,
32068,38.0968,,,1.036E-16,,,
32222,38.2797,,,5.370E-17,,,
32257,38.3213,,6.672E-17,5.240E-17,,,
32280,38.3486,,,2.713E-16,,,
32719,38.8702,,1.382E-16,2.643E-16,,,
32830,39.0020,,,3.695E-17,,,
32862,39.0401,,,5.589E-17,,,
33019,39.2266,,5.199E-17,7.993E-17,,,
33042,39.2539,,6.313E-17,1.314E-16,,,
33072,39.2895,,,4.863E-17,,,
33155,39.3881,,,9.075E-17,,,
33160,39.3941,,,4.829E-17,,,
33164,39.3988,,1.240E-15,3.206E-15,,,
33482,39.7766,,,2.347E-16,,,
33540,39.8455,,,,,,
33541,39.8467,,7.661E-16,1.719E-15,,7.494E-16,1.913E-16
33684,40.0166,,,4.898E-17,,,
33937,40.3172,,7.477E-17,2.050E-16,,5.277E-17,4.922E-17
34501,40.9872,,6.205E-17,1.644E-16,,5.427E-17,1.784E-17
34545,41.0395,,1.426E-16,2.671E-16,,,
34617,41.1250,,8.604E-17,1.581E-16,,5.765E-17,2.286E-17
34978,41.5539,,8.409E-17,7.724E-17,,,
35115,41.7166,,,4.309E-17,,,
35169,41.7808,,9.478E-17,1.999E-16,,,
35286,41.9198,,,4.181E-17,,,
35373,42.0231,,,4.985E-17,,,
35461,42.1277,,3.425E-16,7.853E-16,,,
35535,42.2156,,4.802E-17,6.440E-17,,,
35702,42.4140,,1.345E-16,1.183E-16,,6.720E-17,1.732E-17
35754,42.4758,,5.343E-17,,,,
35895,42.6433,,,4.736E-17,,,
36432,43.2812,,,8.162E-17,,,
36540,43.4095,,,3.868E-17,,,
36745,43.6531,,,4.603E-17,,,
36969,43.9192,,,1.096E-15,,,
37433,44.4704,,,1.578E-16,,,
37489,44.5369,,,1.201E-16,,,
37518,44.5714,,4.345E-17,4.672E-17,,,
37526,44.5809,,7.361E-17,2.456E-16,,,
37661,44.7413,,1.314E-16,3.037E-16,,1.916E-16,2.689E-17
37762,44.8613,,,4.748E-17,,,
37959,45.0953,,2.654E-16,6.073E-16,,,
38027,45.1761,,,6.184E-17,,,
38063,45.2188,,6.296E-17,2.816E-16,,,
38259,45.4517,,3.858E-17,1.289E-16,,,
38343,45.5515,,3.962E-17,5.194E-17,,,
38408,45.6287,,1.784E-16,4.637E-16,,2.422E-16,4.803E-17
38744,46.0279,,,4.563E-17,,,
38793,46.0861,,4.592E-17,8.887E-17,,,
39072,46.4175,,9.445E-17,2.801E-16,,,
39136,46.4936,,,1.796E-16,,,
39676,47.1351,,,5.020E-17,,,
39796,47.2776,,,4.201E-17,,,
39990,47.5081,,,3.802E-17,,,
40016,47.5390,,,1.384E-16,,,
40078,47.6127,,1.051E-15,1.491E-15,,1.207E-16,
40126,47.6697,,5.572E-17,1.596E-16,,9.221E-17,
40280,47.8526,,,2.109E-16,,,
40469,48.0772,,,7.434E-16,,,
40545,48.1675,,5.099E-17,1.064E-16,,,
40588,48.2185,,2.334E-16,4.044E-15,,4.415E-17,
40599,48.2316,,,7.628E-17,,,
40675,48.3219,,,5.278E-17,,,
40770,48.4348,,5.585E-17,1.772E-16,,,
41034,48.7484,,,6.118E-17,,,
41535,49.3436,,,4.474E-15,,,
41536,49.3448,,2.605E-15,,,,
41619,49.4434,,,1.313E-16,,,
41706,49.5467,,,2.645E-16,,,
41727,49.5717,,4.802E-17,1.080E-16,,,
41788,49.6441,,3.888E-16,1.521E-16,,,
42057,49.9637,,,1.676E-16,,,
42241,50.1823,,6.723E-17,6.878E-17,,,
42269,50.2156,,5.000E-17,1.087E-16,,,
42343,50.3035,,,1.997E-16,,,
42377,50.3439,,,4.038E-17,,,
42384,50.3522,,1.630E-16,4.322E-16,,,
42392,50.3617,,1.674E-16,5.797E-16,,,
42707,50.7359,,,1.040E-16,,,
43305,51.4463,,2.982E-15,6.956E-15,,,
43589,51.7837,,,3.822E-17,,,
43688,51.9013,,,6.294E-17,,,
44114,52.4074,,,4.823E-17,,,
44369,52.7104,,1.124E-16,1.451E-16,,,
44418,52.7686,,1.071E-15,2.121E-15,3.850E-17,1.044E-15,2.544E-16
44538,52.9111,,5.754E-17,4.346E-17,,,
45051,53.5206,,,9.605E-17,,,
45151,53.6394,,4.534E-17,1.056E-16,,,
45308,53.8259,,6.512E-17,1.663E-16,,,
45344,53.8687,,,9.025E-17,,,
45931,54.5660,,,5.755E-16,,,
45943,54.5803,,1.151E-16,5.436E-16,,,
46042,54.6979,,3.767E-17,4.735E-17,,,
46140,54.8143,,4.391E-17,2.543E-16,,,
46171,54.8511,,,1.056E-16,,,
46335,55.0460,,2.150E-16,4.511E-16,,,
46344,55.0567,,6.265E-17,1.258E-16,,7.776E-17,1.849E-17
46445,55.1767,,,6.378E-16,,,
46457,55.1909,,4.886E-17,9.894E-17,,,
46700,55.4796,,6.532E-16,2.027E-15,,,
46826,55.6293,,,4.329E-17,,,
47077,55.9275,,,4.720E-17,,,
47249,56.1318,,5.109E-16,8.835E-16,,,
47312,56.2067,,,1.074E-15,,,
47423,56.3385,,3.752E-17,,,,
47794,56.7793,,,6.130E-17,,,
47853,56.8494,,,5.895E-16,,,
47937,56.9492,,,5.632E-17,,,
47985,57.0062,,,8.361E-17,,,
48118,57.1642,,,3.480E-16,,,
48310,57.3923,,,4.385E-16,,,
48478,57.5919,,7.424E-17,4.738E-16,,,
48764,57.9316,,,4.106E-17,,,
48817,57.9946,,4.210E-17,1.110E-16,,,
48865,58.0516,,1.070E-16,5.614E-16,,,
48986,58.1954,,5.472E-17,2.777E-16,,,
